teamNumber,opr,sponsors,oprClass
17377,47.86347989966576,0,4
19151,64.40316791941602,0,6
18291,47.461220069830425,2,4
16244,114.18189834184969,2,7
13829,11.443356751211233,1,1
16626,57.91573391515565,0,6
12966,56.02179912970268,0,5
6708,30.387100580333215,0,3
16402,47.3972888952167,0,4
10660,11.534443603685357,2,1
15972,127.01739270587845,1,7
5143,45.78074156785138,5,4
7760,49.603944840379285,0,5
15814,13.366311744112027,0,1
16921,29.48651148128573,1,3
8284,55.02334946171993,1,5
12611,109.54952416037337,4,7
11457,21.808535059075385,0,2
8699,70.6538811828192,0,6
13190,32.14284023134533,0,3
18442,103.28823859582032,7,7
11276,30.13264670258708,1,3
3231,24.387463698606844,5,2
13684,119.25547794592782,8,7
22,4.88171259785678,5,1
9853,58.025268034955424,0,6
8646,29.316506128859114,3,2
2845,97.33962126298694,5,7
17378,72.58914300103675,12,6
16657,60.563802539174546,9,6
17151,36.473430062668285,1,3
16818,74.49986786202143,7,6
8743,50.010826697344285,0,5
9089,10.996386237475987,0,1
18557,33.8009732420496,0,3
12973,47.73738253823525,0,4
13073,2.918578477116335,2,1
5975,52.93364768252895,1,5
8973,38.62923163177834,3,4
5828,25.803865377062785,0,2
15282,2.338249589434918,1,1
8535,47.88257998839219,2,5
19121,122.86293328950613,2,7
9219,30.732244251766595,17,3
6174,22.44512705412672,0,2
18119,47.55660791634923,1,4
4443,25.885529537138684,0,2
19104,64.0128568870827,0,6
8405,16.95517924429038,0,1
6901,20.52391385254809,2,2
